address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
192.168.20.101,02:42:ac:11:00:12,,43200,1765835070,1,0,0,cliente3,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835072,1,0,0,cliente2,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835080,1,0,0,client1,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835185,1,0,0,cliente2,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835185,1,0,0,client1,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765813585,2,0,0,cliente4,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765835185,1,0,0,cliente3,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765813595,2,0,0,cliente5,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765814089,2,0,0,cliente4,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835689,1,0,0,client1,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765835689,1,0,0,cliente3,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835689,1,0,0,cliente2,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765814099,2,0,0,cliente5,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835766,1,0,0,client1,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835766,1,0,0,cliente2,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765814166,2,0,0,cliente4,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765835766,1,0,0,cliente3,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765814176,2,0,0,cliente5,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765836038,1,1,1,cliente3,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765836038,1,1,1,client1,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765814438,2,1,1,cliente4,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765836038,1,1,1,cliente2,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765814448,2,1,1,cliente5,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765836250,1,1,1,cliente3.tia.cesar,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765814650,2,1,1,cliente4.tia.cesar,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765836250,1,1,1,client1.tia.cesar,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765836250,1,1,1,cliente2.tia.cesar,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765814660,2,1,1,cliente5.tia.cesar,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765815199,2,1,1,cliente4.tia.cesar,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765836799,1,1,1,client1.tia.cesar,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765836799,1,1,1,cliente2.tia.cesar,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765836799,1,1,1,cliente3.tia.cesar,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765815209,2,1,1,cliente5.tia.cesar,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1771307587,1,1,1,cliente3.tia.cesar,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1771285987,2,1,1,cliente4.tia.cesar,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1771307587,1,1,1,client1.tia.cesar,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1771307587,1,1,1,cliente2.tia.cesar,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765815209,2,0,0,,2,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1771285997,2,1,1,cliente5.tia.cesar,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1771286387,2,1,1,cliente4.tia.cesar,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1771307987,1,1,1,cliente2.tia.cesar,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1771307987,1,1,1,client1.tia.cesar,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1771307987,1,1,1,cliente3.tia.cesar,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1771286397,2,1,1,cliente5.tia.cesar,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1771308819,1,1,1,cliente2.tia.cesar,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1771287263,2,1,1,cliente4.tia.cesar,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1771308900,1,1,1,cliente3.tia.cesar,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1771308947,1,1,1,client1.tia.cesar,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1771287368,2,1,1,cliente5.tia.cesar,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1771309658,1,1,1,cliente2.tia.cesar,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1771288105,2,1,1,cliente4.tia.cesar,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1771309747,1,1,1,cliente3.tia.cesar,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1771309850,1,1,1,client1.tia.cesar,0,,0
